Product Name,Price
NoiseFit Twist Go,22.38,Rose Pink,5 (89),Country of origin : China
ColorFit Icon 2,20.78,Jet Black,4.5 (49),Country of origin : India
ColorFit Icon 2 Elite,25.58,Elite Black,4.5 (49),Country of origin : India
ColorFit Vivid Call 2 Smartwatch,23.98,Elite Black,5.0 (2046),Country of origin : India
ColorFit Icon 3 Plus,23.98,Midnight Gold,4.5 (49),Country of origin : China
Quad Call Elite,25.58,Elite Black,5 (77),Country of origin : India
ColorFit Icon Buzz,19.18,Classic Red,4.5 (49),Country of origin : India
Impact Smartwatch,23.98,Olive Green,5 (77),Country of origin : China
ColorFit Macro,31.98,Elite Silver,5 (77),Country of origin : China
ColorFit Mighty,39.98,Jet Black,5 (77),Country of origin : China
ColorFit Pulse 3 Smart Watch,23.98,Vintage Brown,4.6 (1578),Country of origin : China
ColorFit Quad Call,23.98,Jet Black,5 (77),Country of origin : India
ColorFit Spark,25.58,Jet Black,4.6 (1578),Country of origin : China
ColorFit Thrive Smart Watch,19.18,Midnight Blue,4.6 (75),Country of origin : India
