Product Title,Price,Case Material,Dimensions,Features
SUUNTO OCEAN,$899.95,Glass fibre reinforced polyamide,49.9 x 49.9 x 13.2 mm / 1.96 x 1.96 x 0.52 ",Extensive scuba and freedive features
SUUNTO RACE S,$469.00,Glass fibre reinforced polyamide,45 x 45 x 11.4 mm / 1.77 x 1.77 x 0.45 ",High definition AMOLED screen
SUUNTO RACE S,$349.00,Glass fibre reinforced polyamide,45 x 45 x 11.4 mm / 1.77 x 1.77 x 0.45 ",High definition AMOLED screen
SUUNTO RACE,$399.00,Glass fibre reinforced polyamide,49 x 49 x 13.3 mm / 1.93 x 1.93 x 0.52 ",High definition AMOLED screen
SUUNTO VERTICAL,$639.00,Glass fibre reinforced polyamide,49 x 49 x 13.6 mm / 1.93 x 1.93 x 0.54 ",Outdoor offline maps
SUUNTO 9 PEAK PRO,$249.00,Glass fibre reinforced polyamide,43 x 43 x 10.8 mm / 1.69 x 1.69 x 0.43 ",Powerful
SUUNTO CORE ALPHA,$249.00,Composite,49.5 x 49.5 x 15.1 mm / 1.95 x 1.95 x 0.59 ",Features not available
SUUNTO CORE,$149.00,Composite,49.1 x 49.1 x 14.5 mm / 1.93 x 1.93 x 0.57 ",Features not available
REFURBISHED SUUNTO RACE S,$399.00,Glass fibre reinforced polyamide,45 x 45 x 11.4 mm / 1.77 x 1.77 x 0.45 ",High definition AMOLED screen
REFURBISHED SUUNTO RACE,$339.00,Glass fibre reinforced polyamide,49 x 49 x 13.3 mm / 1.93 x 1.93 x 0.52 ",High definition AMOLED screen
REFURBISHED SUUNTO VERTICAL,$599.00,Glass fibre reinforced polyamide,49 x 49 x 13.6 mm / 1.93 x 1.93 x 0.54 ",Outdoor offline maps
